SNP ID,№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение),Аскохитоз (устойчивость),Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW
VIR1039,1039,2016-04-28,8,39,55,16,39,78,94,16,3,7,5,3,7,7,3,7,5,1,5,2,1,56,42,43,42,36,14,14,19,19,16,23.6,17.8,7.5,5.7,3.6,8.9,5.9,2.4,2.7,1.6,75,61,25,21,15,82,75,30,20,10,8.3,7.3,3.1,1.8,0.9,7,22,20,18,20,18,10,8,9,10,9,3,10,140
VIR1068,1068,2016-04-28,8,40,67,27,36,76,92,16,1,3,7,7,3,1,9,7,5,1,5,2,2,70,62,70,70,72,45,42,50,42,49,15.7,42.8,29.6,35.4,42.1,8.6,16.9,12.1,18.3,21.5,20,55,41,60,43,7,16,10,44,29,1.3,4.4,3.2,14,13,5,27,25,22,25,27,14,13,11,13,15,5,1,240
VIR1120,1120,2016-04-28,8,37,60,23,45,82,96,14,2,3,5,7,3,3,7,9,3,7,7,2,2,62,63,66,61,63,19,18,24,19,18,65.6,37.2,37.1,24.6,50.5,28.7,14.4,14.6,8.1,17.6,114,82,68,43,89,131,85,69,56,103,24.6,16,12.4,12.3,20.7,7,25,25,25,24,22,11,11,12,12,11,3,11,230
VIR1179,1179,2016-04-28,8,37,73,36,44,81,97,16,1,3,3,7,3,3,7,9,3,7,7,2,2,58,62,52,60,55,17,33,17,27,21,36.8,21.8,67.8,48.9,51.2,12.1,5.9,17.1,33.1,22.2,54,34,93,35,70,44,22,91,31,53,14.9,9.4,33.5,8.4,17.5,7,22,25,25,25,26,12,12,13,10,12,5,1,355
VIR1214,1214,2016-04-28,8,37,60,23,42,79,98,19,2,3,7,5,3,5,5,7,5,1,5,1,2,53,60,60,56,70,21,16,22,31,33,44.5,72.7,26.5,28,39.6,16,25.4,9.2,11.4,16.4,85,160,48,54,72,82,171,56,60,84,16,31,11.3,11.2,16.7,7,21,18,23,20,20,11,10,12,10,11,3,11,210
VIR1230,1230,2016-04-28,13,44,88,44,49,93,100,7,1,3,3,5,3,3,7,7,5,1,5,1,1,70,56,58,56,60,25,31,31,27,31,106.2,30.7,28.6,41.5,81.6,41.6,18.2,8.9,16.2,41.8,162,40,48,59,96,122,27,35,60,72,33.1,11.2,13.9,16.8,22.1,7,22,21,21,21,21,11,11,11,11,10,5,1,255
VIR1243,1243,2016-04-28,8,44,60,16,36,80,96,16,3,7,7,5,7,1,9,5,5,1,5,2,2,60,60,65,72,70,25,36,30,30,33,31.7,73.3,129.5,129.5,109.3,13.4,10.4,92.5,42,68.8,41,34,54,82,99,40,31,55,81,71,12,9.1,18,28.1,23.1,7,23,20,23,25,25,11,10,10,12,12,3,10,305
VIR1252,1252,2016-04-28,8,39,73,34,42,81,95,14,1,3,5,5,3,3,7,7,5,1,5,1,2,65,72,60,66,62,20,30,30,26,29,37,53.8,28.5,22.7,20.4,23.8,35.7,14.2,8.3,8.8,42,47,41,42,34,31,53,45,46,29,6.7,10.3,8.6,9.6,6.8,7,19,20,21,20,19,8,10,9,9,9,5,1,230
VIR1286,1286,2016-04-28,8,45,81,36,44,89,98,9,1,3,5,5,3,1,9,5,5,1,5,1,2,78,76,70,70,70,27,21,27,25,26,191.4,93,77.5,80.9,44.1,114.3,51.9,50.6,44.6,17.6,167,90,59,70,63,176,90,68,62,59,54.3,28.7,18.4,20.7,17.9,7,25,23,25,24,23,12,11,12,10,12,3,1,330
VIR1481,1481,2016-04-28,8,46,84,38,41,87,98,11,1,3,7,7,3,1,9,9,5,7,7,2,1,77,75,60,80,105,30,27,32,26,35,104.3,122.1,50.9,132.9,102.1,101.6,86.5,42.2,74.6,69,68,64,23,34,86,53,44,14,32,66,22.4,19.4,6.2,14.4,27.5,5,25,26,24,23,25,14,15,12,12,15,5,1,370
VIR2296,2296,2016-04-28,29,39,66,27,28,67,81,14,1,3,5,5,3,1,9,9,5,1,5,1,2,56,70,63,66,70,27,21,27,27,35,20.2,73.2,55.4,88.5,101,11.5,30.9,19.6,56.4,57.3,20,45,64,70,80,13,35,56,53,62,3.5,11.5,19.5,20.7,22.7,5,25,25,30,21,24,14,14,14,10,13,5,1,355
VIR455a,455a,2016-04-28,8,39,52,13,41,80,95,15,3,3,5,5,3,7,3,9,5,7,7,2,1,50,36,45,45,43,25,25,30,30,26,13.2,6.7,12.9,19.7,13.7,8,5,10.4,11.4,11.2,22,7,10,25,10,7,8,4,23,10,2.5,1.5,0.9,4.9,2.2,7,21,21,19,20,20,10,11,10,11,10,3,10,240
VT0003_0344,344,2016-04-28,8,38,64,26,44,82,99,17,1,3,3,5,3,3,7,9,5,1,7,1,2,49,53,46,60,52,20,13,25,12,11,74.9,174.3,43.9,85.1,65.5,40.2,71.1,14.6,32.7,26.5,109,255,86,123,130,145,289,87,194,137,21.9,43.5,15.8,31.7,18.6,7,20,21,21,22,21,11,11,11,11,11,5,1,222
VT0005_0347,347,2016-04-28,8,39,53,14,42,81,96,15,2,3,3,5,3,1,9,9,5,1,5,2,2,53,56,60,43,50,22,13,14,12,31,134.1,150.2,97.3,200.5,66.7,63.1,33.3,47.1,52.5,17.8,167,228,106,301,110,118,262,128,354,131,27.4,60.4,25.9,79,29.2,7,25,23,22,26,25,13,12,11,14,13,3,11,278
VT0007_0349,349,2016-04-28,8,39,64,25,42,81,96,15,2,3,3,5,3,5,5,9,5,1,1,2,2,43,56,57,50,60,20,22,21,16,25,77.6,153.4,130.7,114.1,130.7,20.7,40.3,38.3,49.2,43.1,134,290,263,202,216,211,138,285,216,199,38.1,32.4,61.4,52.9,49.8,7,21,20,21,23,21,11,10,10,12,12,3,11,250
VT0008_0349,349,2016-04-28,13,42,61,19,33,75,90,15,2,3,3,5,3,1,9,9,5,1,5,2,2,48,50,49,52,52,30,25,20,24,18,49.4,33.8,84.1,112.9,115.9,16.9,13.9,20.3,45.6,41.6,68,50,146,147,192,64,44,31,127,191,14.4,8.3,6.6,31.6,38.2,7,22,21,25,22,23,11,13,11,12,13,3,11,225
VT0009_0350,350,2016-04-28,8,38,64,26,43,81,100,19,3,3,3,5,3,5,5,7,5,1,5,2,2,50,55,55,66,57,22,12,15,17,15,50.3,64.2,46.3,69,55,23.6,32.5,20.5,34,30.1,81,73,61,89,55,85,80,73,118,87,16.7,17.2,14.8,23.9,14.9,7,20,20,15,17,15,8,9,7,7,8,3,10,200
VT0010_0351,351,2016-04-28,8,38,60,22,44,82,96,14,2,3,3,5,3,5,5,9,5,1,5,2,2,61,61,60,52,60,23,29,16,18,17,68.3,56.6,99.1,131.6,172.5,33,26.8,46.3,48,74.3,66,64,105,180,168,69,47,85,130,143,20.1,19.2,29.5,47,50.2,7,21,23,22,24,24,11,11,11,11,12,5,11,365
VT0011_0352,352,2016-04-28,8,41,64,23,41,82,100,18,2,3,3,5,3,1,9,9,5,1,5,1,2,65,60,60,63,66,30,23,31,23,30,60.8,241.1,73.6,79.5,209.4,27.9,118.6,35.3,43.1,73,59,210,83,78,230,77,212,78,69,213,22.1,56.5,23.5,20.2,65.2,7,25,22,20,25,20,11,10,9,11,10,3,11,305
VT0012_0353,353,2016-04-28,10,37,50,13,35,72,79,7,2,5,1,5,7,3,7,9,5,1,7,1,1,51,54,46,40,45,15,35,21,13,16,102.2,124.1,41.1,67.3,74.5,24.7,39.3,15.1,15.3,22.2,150,140,63,115,101,160,182,69,107,116,32.7,39.5,14.1,29.2,25.9,7,20,21,22,21,21,10,11,12,10,12,3,11,215
VT0013_0354,354,2016-04-28,10,37,51,14,41,78,96,18,3,5,3,5,7,3,7,9,5,1,5,1,1,50,56,56,62,52,20,20,30,25,13,36.9,99.1,88.3,57.7,361.9,14.9,39.1,45.1,23.9,190.3,70,136,139,103,328,74,133,159,99,373,14.4,26.4,35.3,18.5,78.7,7,15,18,20,18,20,7,10,8,7,10,3,10,210
VT0014_0355,355,2016-04-28,10,36,68,32,44,80,99,19,2,3,3,5,3,1,9,7,3,1,5,1,1,55,46,57,51,45,11,15,21,19,26,303.1,110.9,130.1,113.9,83.9,132.7,37.7,30.3,50,43.3,347,198,353,178,78,399,188,380,173,90,72.8,36.6,73.6,34.4,15.4,7,21,19,20,21,20,10,9,10,10,10,5,2,205
VT0015_0356,356,2016-04-28,8,36,52,16,45,81,96,15,3,3,3,5,3,5,5,7,5,1,5,2,2,57,60,52,50,52,21,28,18,12,22,20.8,33.7,63.1,47.7,47.9,10.1,12.7,32.6,25.9,22.5,34,37,68,56,56,39,52,71,48,49,3.7,10.6,18.2,11.6,13.1,7,22,23,20,22,20,10,11,10,12,8,3,10,205
VT0018_0361,361,2016-04-28,8,39,52,13,41,80,97,17,2,3,5,5,3,1,9,9,5,3,5,2,2,56,62,53,60,62,35,40,22,26,16,25.2,52.9,34.1,67.8,123.3,15.7,29.3,19.8,20.2,34.7,21,66,46,105,226,24,71,42,115,195,5.6,18.4,10.4,29.7,41.7,7,22,21,20,22,25,11,10,9,11,12,5,10,210
VT0019_0362,362,2016-04-28,8,39,53,14,41,80,93,13,1,3,5,7,3,3,7,7,5,1,5,2,2,63,65,67,61,62,30,30,25,33,27,67.4,94.6,124.5,43.3,57.7,37.3,49.8,69.2,13.9,35.4,65,70,106,48,40,45,66,102,48,40,22.2,30.6,33.6,18.1,14.9,5,25,26,26,25,26,14,13,13,12,13,3,1,315
VT0020_0364,364,2016-04-28,8,37,53,16,44,81,95,14,2,3,3,5,3,5,5,7,5,1,5,1,2,60,57,60,57,55,17,25,30,15,27,60.4,108.1,46,81.3,33.2,26.8,50.7,24.2,31.3,21.7,77,152,58,115,37,75,170,76,148,41,19.5,36.8,14.3,30.2,7.1,7,21,25,21,24,25,11,9,10,11,10,3,11,230
VT0021_0365,365,2016-04-28,8,39,53,14,42,81,98,17,1,3,3,5,3,1,9,9,5,1,5,1,2,53,50,55,57,60,16,16,19,20,21,145,108.3,85.5,115.4,74.1,25.1,65.5,46.4,64.7,48,195,119,102,101,106,189,112,92,74,83,37.8,21.2,18.4,16.6,16.8,7,25,25,22,22,23,11,11,10,11,11,5,1,205
